account_id,churn_flag,plan_tier,industry,country,activation_events_7d,activation_features_used_7d,activation_total_usage_7d,activation_total_duration_secs_7d,activation_total_errors_7d,beta_feature_used_7d
A-2e4581,False,Basic,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-43a9e3,True,Basic,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-0a282f,False,Basic,DevTools,US,1.0,1.0,7.0,749.0,2.0,False
A-1f0ac7,False,Basic,HealthTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-ce550d,True,Enterprise,HealthTech,US,1.0,1.0,9.0,3519.0,0.0,False
A-1b9609,False,Enterprise,EdTech,IN,1.0,1.0,11.0,4983.0,0.0,True
A-a0ca4e,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-e5d6ab,False,Pro,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-7dacce,True,Enterprise,Cybersecurity,CA,1.0,1.0,11.0,5863.0,3.0,False
A-10b8da,True,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-592832,True,Basic,Cybersecurity,US,2.0,2.0,20.0,10604.0,0.0,False
A-d40bf7,False,Basic,FinTech,IN,2.0,2.0,19.0,7099.0,0.0,True
A-6c093d,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-462d45,False,Enterprise,Cybersecurity,US,2.0,2.0,16.0,941.0,0.0,False
A-956988,False,Enterprise,EdTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-ac14bb,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-463db0,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-ce66f8,False,Pro,EdTech,CA,0.0,0.0,0.0,0.0,0.0,0
A-c4ea60,True,Enterprise,FinTech,DE,0.0,0.0,0.0,0.0,0.0,0
A-832ec2,False,Enterprise,FinTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-684255,False,Enterprise,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-c42f1f,False,Pro,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-4e44e8,True,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-30b4ca,True,Basic,EdTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-9f2731,False,Enterprise,FinTech,IN,1.0,1.0,8.0,2864.0,0.0,False
A-32fb14,True,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-00cac8,False,Enterprise,HealthTech,AU,1.0,1.0,12.0,6936.0,2.0,True
A-35083d,True,Basic,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-eb7fac,False,Enterprise,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-b20d99,False,Basic,HealthTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-396e5f,False,Enterprise,Cybersecurity,CA,0.0,0.0,0.0,0.0,0.0,0
A-45ce7a,False,Enterprise,FinTech,US,1.0,1.0,14.0,4606.0,0.0,False
A-08e34e,True,Basic,EdTech,US,1.0,1.0,12.0,4704.0,0.0,False
A-8145a0,False,Basic,Cybersecurity,AU,1.0,1.0,11.0,2453.0,0.0,False
A-bad8c1,False,Basic,FinTech,AU,1.0,1.0,6.0,3354.0,0.0,False
A-44dc83,False,Basic,EdTech,FR,1.0,1.0,10.0,4080.0,0.0,False
A-f446b6,False,Pro,DevTools,DE,1.0,1.0,5.0,1780.0,5.0,False
A-a45270,False,Enterprise,HealthTech,US,1.0,1.0,9.0,4482.0,0.0,False
A-854864,False,Enterprise,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-1b7577,False,Pro,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-05f0e5,False,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-9077b0,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-7f8241,True,Pro,EdTech,US,1.0,1.0,6.0,3234.0,0.0,False
A-2bc93d,False,Basic,HealthTech,US,2.0,2.0,23.0,8339.0,1.0,False
A-f3ff05,False,Enterprise,FinTech,IN,1.0,1.0,10.0,4040.0,0.0,False
A-2d4502,False,Basic,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0
A-6a4e2d,False,Pro,EdTech,UK,1.0,1.0,6.0,666.0,0.0,False
A-eb7c38,False,Enterprise,DevTools,AU,0.0,0.0,0.0,0.0,0.0,0
A-c37601,False,Basic,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-3b5cd1,False,Basic,FinTech,US,1.0,1.0,15.0,1005.0,0.0,False
A-b2225d,True,Basic,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-94f8c9,False,Basic,HealthTech,US,2.0,2.0,21.0,1008.0,3.0,False
A-02fac6,False,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-c1dfe1,False,Pro,DevTools,DE,2.0,2.0,20.0,6096.0,4.0,False
A-32728c,True,Pro,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-4c38bc,True,Basic,HealthTech,UK,0.0,0.0,0.0,0.0,0.0,0
A-1b707d,False,Enterprise,Cybersecurity,US,0.0,0.0,0.0,0.0,0.0,0
A-6f8ad2,False,Basic,EdTech,IN,4.0,4.0,44.0,13422.0,2.0,True
A-4d1e75,False,Basic,DevTools,US,0.0,0.0,0.0,0.0,0.0,0
A-9ee962,True,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-378b99,False,Pro,EdTech,UK,1.0,1.0,11.0,2871.0,0.0,False
A-94d3da,False,Basic,HealthTech,US,0.0,0.0,0.0,0.0,0.0,0
A-e351e1,False,Enterprise,EdTech,US,0.0,0.0,0.0,0.0,0.0,0
A-9badbd,False,Enterprise,Cybersecurity,DE,3.0,3.0,31.0,5303.0,1.0,True
A-7e0a10,False,Enterprise,FinTech,US,2.0,2.0,23.0,9735.0,1.0,False
A-118d55,False,Basic,Cybersecurity,US,1.0,1.0,7.0,2674.0,0.0,True
A-526d93,False,Basic,HealthTech,FR,0.0,0.0,0.0,0.0,0.0,0
A-f92792,False,Pro,FinTech,US,1.0,1.0,13.0,2613.0,1.0,False
A-84ebe4,True,Pro,FinTech,US,0.0,0.0,0.0,0.0,0.0,0
A-5b4ebb,True,Basic,Cybersecurity,UK,0.0,0.0,0.0,0.0,0.0,0
