subscription_id,account_id,cohort_month,active_month,mrr_amount,arr_amount,plan_tier,subscription_status,cohort_index
S-8cec59,A-3c1a3f,2023-12-01,2023-12-01,2786,33432,Enterprise,Ended,0
S-8cec59,A-3c1a3f,2023-12-01,2024-01-01,2786,33432,Enterprise,Ended,1
S-8cec59,A-3c1a3f,2023-12-01,2024-02-01,2786,33432,Enterprise,Ended,2
S-8cec59,A-3c1a3f,2023-12-01,2024-03-01,2786,33432,Enterprise,Ended,3
S-8cec59,A-3c1a3f,2023-12-01,2024-04-01,2786,33432,Enterprise,Ended,4
S-0f6f44,A-9b9fe9,2024-06-01,2024-06-01,833,9996,Pro,Active,0
S-0f6f44,A-9b9fe9,2024-06-01,2024-07-01,833,9996,Pro,Active,1
S-0f6f44,A-9b9fe9,2024-06-01,2024-08-01,833,9996,Pro,Active,2
S-0f6f44,A-9b9fe9,2024-06-01,2024-09-01,833,9996,Pro,Active,3
S-0f6f44,A-9b9fe9,2024-06-01,2024-10-01,833,9996,Pro,Active,4
S-0f6f44,A-9b9fe9,2024-06-01,2024-11-01,833,9996,Pro,Active,5
S-0f6f44,A-9b9fe9,2024-06-01,2024-12-01,833,9996,Pro,Active,6
S-51c0d1,A-659280,2024-11-01,2024-11-01,0,0,Enterprise,Active,0
S-51c0d1,A-659280,2024-11-01,2024-12-01,0,0,Enterprise,Active,1
S-f81687,A-e7a1e2,2024-11-01,2024-11-01,995,11940,Enterprise,Ended,0
S-f81687,A-e7a1e2,2024-11-01,2024-12-01,995,11940,Enterprise,Ended,1
S-cff5a2,A-ba6516,2024-01-01,2024-01-01,5373,64476,Enterprise,Active,0
S-cff5a2,A-ba6516,2024-01-01,2024-02-01,5373,64476,Enterprise,Active,1
S-cff5a2,A-ba6516,2024-01-01,2024-03-01,5373,64476,Enterprise,Active,2
S-cff5a2,A-ba6516,2024-01-01,2024-04-01,5373,64476,Enterprise,Active,3
S-cff5a2,A-ba6516,2024-01-01,2024-05-01,5373,64476,Enterprise,Active,4
S-cff5a2,A-ba6516,2024-01-01,2024-06-01,5373,64476,Enterprise,Active,5
S-cff5a2,A-ba6516,2024-01-01,2024-07-01,5373,64476,Enterprise,Active,6
