cohort_month,cohort_index,active_accounts,cohort_size,retention_rate
2023-01-01,0,2,2,1.0
2023-01-01,1,2,2,1.0
2023-01-01,2,2,2,1.0
2023-01-01,3,2,2,1.0
2023-01-01,4,2,2,1.0
2023-01-01,5,2,2,1.0
2023-01-01,6,2,2,1.0
2023-01-01,7,2,2,1.0
2023-01-01,8,2,2,1.0
2023-01-01,9,2,2,1.0
2023-01-01,10,2,2,1.0
2023-01-01,11,2,2,1.0
2023-01-01,12,2,2,1.0
2023-01-01,13,2,2,1.0
2023-01-01,14,2,2,1.0
2023-01-01,15,2,2,1.0
2023-01-01,16,2,2,1.0
2023-01-01,17,2,2,1.0
2023-01-01,18,2,2,1.0
2023-01-01,19,2,2,1.0
2023-01-01,20,2,2,1.0
2023-01-01,21,2,2,1.0
2023-01-01,22,2,2,1.0
2023-01-01,23,2,2,1.0
2023-02-01,0,9,9,1.0
2023-02-01,1,9,9,1.0
2023-02-01,2,9,9,1.0
2023-02-01,3,9,9,1.0
2023-02-01,4,9,9,1.0
2023-02-01,5,9,9,1.0
2023-02-01,6,9,9,1.0
2023-02-01,7,8,9,0.8888888888888888
2023-02-01,8,8,9,0.8888888888888888
2023-02-01,9,8,9,0.8888888888888888
2023-02-01,10,7,9,0.7777777777777778
2023-02-01,11,7,9,0.7777777777777778
2023-02-01,12,7,9,0.7777777777777778
2023-02-01,13,7,9,0.7777777777777778
2023-02-01,14,7,9,0.7777777777777778
2023-02-01,15,7,9,0.7777777777777778
2023-02-01,16,7,9,0.7777777777777778
2023-02-01,17,6,9,0.6666666666666666
2023-02-01,18,6,9,0.6666666666666666
2023-02-01,19,6,9,0.6666666666666666
2023-02-01,20,6,9,0.6666666666666666
2023-02-01,21,6,9,0.6666666666666666
2023-02-01,22,6,9,0.6666666666666666
2023-03-01,0,16,16,1.0
2023-03-01,1,16,16,1.0
2023-03-01,2,16,16,1.0
2023-03-01,3,16,16,1.0
2023-03-01,4,16,16,1.0
2023-03-01,5,16,16,1.0
2023-03-01,6,16,16,1.0
2023-03-01,7,16,16,1.0
2023-03-01,8,16,16,1.0
2023-03-01,9,16,16,1.0
2023-03-01,10,16,16,1.0
2023-03-01,11,16,16,1.0
2023-03-01,12,16,16,1.0
2023-03-01,13,16,16,1.0
2023-03-01,14,16,16,1.0
2023-03-01,15,16,16,1.0
2023-03-01,16,16,16,1.0
2023-03-01,17,16,16,1.0
2023-03-01,18,16,16,1.0
2023-03-01,19,16,16,1.0
2023-03-01,20,16,16,1.0
2023-03-01,21,16,16,1.0
2023-04-01,0,25,25,1.0
2023-04-01,1,25,25,1.0
2023-04-01,2,25,25,1.0
2023-04-01,3,25,25,1.0
2023-04-01,4,25,25,1.0
2023-04-01,5,25,25,1.0
2023-04-01,6,25,25,1.0
2023-04-01,7,25,25,1.0
2023-04-01,8,25,25,1.0
2023-04-01,9,25,25,1.0
