month,active_accounts,total_mrr,total_arr,churn_events,churned_accounts,total_refunds,account_churn_rate
2023-01-01,2,4684,56208,1.0,1.0,0.0,0.5
2023-02-01,10,15763,189156,0.0,0.0,0.0,0.0
2023-03-01,21,41648,499776,5.0,5.0,0.0,0.23809523809523808
2023-04-01,36,83436,1001232,3.0,3.0,38.15,0.08333333333333333
2023-05-01,50,169110,2029320,3.0,3.0,0.0,0.06
2023-06-01,71,244097,2929164,5.0,5.0,0.0,0.07042253521126761
2023-07-01,89,363343,4360116,6.0,6.0,0.0,0.06741573033707865
2023-08-01,116,528736,6344832,7.0,6.0,70.81,0.05172413793103448
2023-09-01,131,644272,7731264,6.0,6.0,0.0,0.04580152671755725
2023-10-01,149,826790,9921480,10.0,10.0,0.0,0.06711409395973154
2023-11-01,171,1038507,12462084,11.0,11.0,300.51,0.06432748538011696
2023-12-01,190,1282212,15386544,16.0,16.0,358.06,0.08421052631578947
2024-01-01,217,1539046,18468552,20.0,18.0,326.28000000000003,0.08294930875576037
2024-02-01,235,1888127,22657524,10.0,10.0,0.0,0.0425531914893617
2024-03-01,260,2295694,27548328,24.0,24.0,355.24,0.09230769230769231
2024-04-01,282,2722124,32665488,25.0,23.0,286.32,0.08156028368794327
2024-05-01,310,3339785,40077420,27.0,25.0,189.51999999999998,0.08064516129032258
2024-06-01,337,3854007,46248084,40.0,38.0,514.46,0.11275964391691394
2024-07-01,365,4541221,54494652,35.0,33.0,653.9,0.09041095890410959
2024-08-01,385,5161618,61939416,42.0,40.0,829.47,0.1038961038961039
2024-09-01,416,6113247,73358964,53.0,48.0,1019.21,0.11538461538461539
2024-10-01,439,7208953,86507436,66.0,60.0,832.1800000000001,0.1366742596810934
2024-11-01,475,8647936,103775232,68.0,60.0,732.06,0.12631578947368421
2024-12-01,500,10734251,128811012,117.0,96.0,2146.08,0.192
