active_month,active_accounts,active_subscriptions,total_mrr,total_arr,mrr_growth_rate,arr_growth_rate
2023-01-01,2,3,4684,56208,,
2023-02-01,10,14,15763,189156,2.365286080273271,2.365286080273271
2023-03-01,21,31,41648,499776,1.6421366491150162,1.6421366491150162
2023-04-01,36,62,83436,1001232,1.0033615059546679,1.0033615059546679
2023-05-01,50,90,169110,2029320,1.0268229541205236,1.0268229541205236
2023-06-01,71,136,244097,2929164,0.44342144166518827,0.44342144166518827
2023-07-01,89,194,363343,4360116,0.4885189084667161,0.4885189084667161
2023-08-01,116,275,528736,6344832,0.4551979809711484,0.4551979809711484
2023-09-01,131,336,644272,7731264,0.2185135871209829,0.2185135871209829
2023-10-01,149,420,826790,9921480,0.28329339161099654,0.28329339161099654
2023-11-01,171,538,1038507,12462084,0.2560710700419695,0.2560710700419695
2023-12-01,190,651,1282212,15386544,0.23466861561838304,0.23466861561838304
2024-01-01,217,782,1539046,18468552,0.20030540971383837,0.20030540971383837
2024-02-01,235,923,1888127,22657524,0.2268164824183292,0.2268164824183292
2024-03-01,260,1102,2295694,27548328,0.21585783159713312,0.21585783159713312
2024-04-01,282,1286,2722124,32665488,0.18575210807712184,0.18575210807712184
2024-05-01,310,1519,3339785,40077420,0.22690406462012747,0.22690406462012747
2024-06-01,337,1755,3854007,46248084,0.1539685937867259,0.1539685937867259
2024-07-01,365,2072,4541221,54494652,0.17831155989078384,0.17831155989078384
2024-08-01,385,2392,5161618,61939416,0.13661458008760197,0.13661458008760197
2024-09-01,416,2804,6113247,73358964,0.18436641378730467,0.18436641378730467
2024-10-01,439,3273,7208953,86507436,0.17923470129703567,0.17923470129703567
2024-11-01,475,3827,8647936,103775232,0.199610539838448,0.199610539838448
2024-12-01,500,4707,10734251,128811012,0.24125005087919238,0.24125005087919238
