month,active_accounts,total_mrr,total_arr,new_mrr,new_arr,churned_mrr,churned_arr,starting_mrr,gross_revenue_churn_rate,nrr
2023-01-01,2,4684,56208,4684,56208,0.0,0.0,,,
2023-02-01,10,15763,189156,11079,132948,0.0,0.0,4684.0,0.0,1.0
2023-03-01,21,41648,499776,25885,310620,0.0,0.0,15763.0,0.0,1.0
2023-04-01,36,83436,1001232,41788,501456,245.0,2940.0,41648.0,0.005882635420668459,0.9941173645793315
2023-05-01,50,169110,2029320,85919,1031028,0.0,0.0,83436.0,0.0,1.0
2023-06-01,71,244097,2929164,74987,899844,1176.0,14112.0,169110.0,0.006954053574596416,0.9930459464254036
2023-07-01,89,363343,4360116,120422,1445064,228.0,2736.0,244097.0,0.0009340549044027579,0.9990659450955972
2023-08-01,116,528736,6344832,165621,1987452,686.0,8232.0,363343.0,0.0018880231626864973,0.9981119768373135
2023-09-01,131,644272,7731264,116222,1394664,0.0,0.0,528736.0,0.0,1.0
2023-10-01,149,826790,9921480,182518,2190216,5502.0,66024.0,644272.0,0.008539871358680805,0.9914601286413192
2023-11-01,171,1038507,12462084,217219,2606628,23559.0,282708.0,826790.0,0.0284945391211795,0.9715054608788205
2023-12-01,190,1282212,15386544,267264,3207168,20099.0,241188.0,1038507.0,0.019353745328630427,0.9806462546713696
2024-01-01,217,1539046,18468552,276933,3323196,16361.0,196332.0,1282212.0,0.012759980408855946,0.987240019591144
2024-02-01,235,1888127,22657524,365442,4385304,14349.0,172188.0,1539046.0,0.009323308075262209,0.9906766919247378
2024-03-01,260,2295694,27548328,421916,5062992,19428.0,233136.0,1888127.0,0.010289562089838236,0.9897104379101618
2024-04-01,282,2722124,32665488,445858,5350296,14888.0,178656.0,2295694.0,0.006485184872199867,0.9935148151278002
2024-05-01,310,3339785,40077420,632549,7590588,23536.0,282432.0,2722124.0,0.008646189519654505,0.9913538104803455
2024-06-01,337,3854007,46248084,537758,6453096,20602.0,247224.0,3339785.0,0.006168660557490976,0.993831339442509
2024-07-01,365,4541221,54494652,707816,8493792,28029.0,336348.0,3854007.0,0.0072726904751340615,0.992727309524866
2024-08-01,385,5161618,61939416,648426,7781112,40737.0,488844.0,4541221.0,0.008970494939576823,0.9910295050604232
2024-09-01,416,6113247,73358964,992366,11908392,77902.0,934824.0,5161618.0,0.015092554311458152,0.9849074456885418
2024-10-01,439,7208953,86507436,1173608,14083296,110057.0,1320684.0,6113247.0,0.018003035048313933,0.9819969649516861
2024-11-01,475,8647936,103775232,1549040,18588480,187112.0,2245344.0,7208953.0,0.025955502830993626,0.9740444971690063
2024-12-01,500,10734251,128811012,2273427,27281124,574643.0,6895716.0,8647936.0,0.06644857223735236,0.9335514277626477
