account_id,churn_flag,plan_tier,industry,country,ticket_count,avg_resolution_time_hours,avg_first_response_time_minutes,escalation_count,avg_satisfaction_score,unrated_ticket_count
A-2e4581,False,Basic,EdTech,US,2.0,23.0,91.0,0.0,3.5,1.0
A-43a9e3,True,Basic,FinTech,IN,3.0,38.0,73.33333333333333,0.0,4.0,0.0
A-0a282f,False,Basic,DevTools,US,3.0,43.666666666666664,63.666666666666664,0.0,4.666666666666667,0.0
A-1f0ac7,False,Basic,HealthTech,UK,2.0,29.0,174.0,0.0,4.0,2.0
A-ce550d,True,Enterprise,HealthTech,US,7.0,42.285714285714285,107.85714285714286,1.0,3.857142857142857,2.0
A-1b9609,False,Enterprise,EdTech,IN,4.0,43.0,74.75,0.0,3.75,3.0
A-a0ca4e,False,Pro,Cybersecurity,US,6.0,39.166666666666664,89.83333333333333,3.0,3.8333333333333335,1.0
A-e5d6ab,False,Pro,EdTech,US,3.0,42.666666666666664,57.0,0.0,4.0,3.0
A-7dacce,True,Enterprise,Cybersecurity,CA,4.0,32.5,75.25,0.0,3.75,1.0
A-10b8da,True,Enterprise,DevTools,US,3.0,31.333333333333332,71.33333333333333,0.0,3.6666666666666665,1.0
A-592832,True,Basic,Cybersecurity,US,3.0,32.666666666666664,80.66666666666667,0.0,4.333333333333333,2.0
A-d40bf7,False,Basic,FinTech,IN,2.0,20.5,125.5,0.0,5.0,0.0
A-6c093d,False,Basic,DevTools,US,3.0,40.333333333333336,68.33333333333333,1.0,4.333333333333333,2.0
A-462d45,False,Enterprise,Cybersecurity,US,4.0,26.75,95.0,0.0,4.0,3.0
A-956988,False,Enterprise,EdTech,UK,2.0,50.5,118.0,0.0,3.5,1.0
A-ac14bb,False,Enterprise,FinTech,US,2.0,24.5,30.5,0.0,4.0,1.0
A-463db0,False,Basic,HealthTech,US,6.0,50.166666666666664,94.83333333333333,1.0,4.166666666666667,2.0
A-ce66f8,False,Pro,EdTech,CA,6.0,41.666666666666664,79.16666666666667,0.0,3.8333333333333335,4.0
A-c4ea60,True,Enterprise,FinTech,DE,5.0,36.0,59.0,0.0,3.6,0.0
A-832ec2,False,Enterprise,FinTech,UK,3.0,26.0,108.66666666666667,1.0,4.0,1.0
A-684255,False,Enterprise,FinTech,US,4.0,14.25,97.75,1.0,4.5,1.0
A-c42f1f,False,Pro,HealthTech,US,9.0,31.333333333333332,81.88888888888889,1.0,4.0,4.0
A-4e44e8,True,Enterprise,DevTools,US,3.0,31.333333333333332,76.66666666666667,0.0,3.3333333333333335,0.0
A-30b4ca,True,Basic,EdTech,IN,3.0,57.666666666666664,108.33333333333333,0.0,4.0,2.0
A-9f2731,False,Enterprise,FinTech,IN,0.0,0.0,0.0,0.0,0.0,0.0
A-32fb14,True,Enterprise,DevTools,US,5.0,34.0,59.6,0.0,4.2,3.0
A-00cac8,False,Enterprise,HealthTech,AU,2.0,33.0,120.5,0.0,4.0,2.0
A-35083d,True,Basic,HealthTech,IN,4.0,49.75,119.0,0.0,4.75,1.0
A-eb7fac,False,Enterprise,DevTools,US,4.0,34.0,126.5,0.0,4.0,3.0
A-b20d99,False,Basic,HealthTech,IN,2.0,61.5,27.0,0.0,3.5,0.0
A-396e5f,False,Enterprise,Cybersecurity,CA,5.0,24.8,102.8,1.0,4.0,4.0
A-45ce7a,False,Enterprise,FinTech,US,5.0,45.4,91.8,0.0,3.8,2.0
A-08e34e,True,Basic,EdTech,US,3.0,43.0,84.0,0.0,3.3333333333333335,1.0
A-8145a0,False,Basic,Cybersecurity,AU,6.0,23.666666666666668,90.16666666666667,0.0,4.0,3.0
A-bad8c1,False,Basic,FinTech,AU,1.0,27.0,49.0,0.0,4.0,0.0
A-44dc83,False,Basic,EdTech,FR,7.0,40.857142857142854,76.14285714285714,0.0,4.428571428571429,2.0
A-f446b6,False,Pro,DevTools,DE,8.0,30.75,82.5,1.0,4.125,4.0
A-a45270,False,Enterprise,HealthTech,US,4.0,64.0,110.0,0.0,4.0,2.0
A-854864,False,Enterprise,FinTech,IN,5.0,44.2,100.8,0.0,4.8,0.0
A-1b7577,False,Pro,Cybersecurity,US,5.0,27.2,109.4,0.0,4.0,1.0
A-05f0e5,False,Basic,FinTech,US,4.0,20.0,108.5,0.0,4.0,1.0
A-9077b0,False,Basic,HealthTech,US,3.0,40.333333333333336,136.33333333333334,0.0,4.333333333333333,0.0
A-7f8241,True,Pro,EdTech,US,1.0,36.0,135.0,0.0,3.0,0.0
A-2bc93d,False,Basic,HealthTech,US,2.0,12.0,78.0,0.0,4.5,0.0
A-f3ff05,False,Enterprise,FinTech,IN,3.0,42.666666666666664,111.33333333333333,0.0,3.6666666666666665,1.0
A-2d4502,False,Basic,FinTech,IN,3.0,26.333333333333332,82.0,0.0,4.666666666666667,1.0
A-6a4e2d,False,Pro,EdTech,UK,2.0,18.5,141.0,1.0,4.5,0.0
A-eb7c38,False,Enterprise,DevTools,AU,5.0,22.4,67.4,0.0,4.2,2.0
A-c37601,False,Basic,EdTech,US,4.0,42.25,83.0,0.0,3.75,1.0
A-3b5cd1,False,Basic,FinTech,US,5.0,27.4,46.6,0.0,4.0,3.0
A-b2225d,True,Basic,FinTech,US,2.0,42.0,38.0,0.0,3.5,1.0
A-94f8c9,False,Basic,HealthTech,US,3.0,47.333333333333336,87.66666666666667,0.0,4.666666666666667,1.0
A-02fac6,False,Pro,FinTech,US,6.0,23.333333333333332,100.5,0.0,4.0,4.0
A-c1dfe1,False,Pro,DevTools,DE,3.0,50.333333333333336,93.66666666666667,0.0,4.0,2.0
A-32728c,True,Pro,DevTools,US,2.0,34.5,61.5,0.0,3.5,0.0
